Номер_группы;Название_группы;Название_группы_укр;Идентификатор_группы;Номер_родителя;Ссылка_изображения_группы
82411699;Основа для макияжа;Основа для макіяжу;;113590269;https://images.prom.ua/6167723789_osnova-dlya-makiyazha.jpg
82412579;Бальзам для губ;Бальзам для губ;;113590279;https://images.prom.ua/3229334021_balzam-dlya-gub.jpg
86108200;Антисептик для рук;Антисептик для рук;;136061701;https://images.prom.ua/3229369209_antiseptik-dlya-ruk.jpg
88509946;Сахарозаменители;Цукрозамінники;24754185;136054110;https://images.prom.ua/6167726632_saharozameniteli.jpg
104050699;Арахисовая паста;Арахісова паста;;81148530;https://images.prom.ua/3539632393_arahisovaya-pasta.jpg
104051090;Омега-3 для детей;Омега-3 для дітей;;81301337;https://images.prom.ua/3539683598_omega-3-dlya-detej.jpg
106661030;Коллаген 1 и 3 типа;Колаген 1 і 3 типу;;81304538;https://images.prom.ua/3886030708_kollagen-1-i.jpg
106661032;Коллаген 2 типа (для суставов);Колаген 2 типу (для суглобів);;81304538;https://images.prom.ua/3886033546_kollagen-2-tipa.jpg
109244230;Куркумин;Куркумін;;81301939;https://images.prom.ua/3885924092_kurkumin.jpg
109245072;Омега 3;Омега 3;;81301337;https://images.prom.ua/3885971560_omega-3.jpg
109246145;Морской (рыбный) коллаген, Marine/Fish Collagen;Морський (рибний) колаген, Marine/Fish Collagen;;81304538;https://images.prom.ua/3886037283_morskoj-rybnyj-kollagen.jpg
109246150;Витамины с коллагеном;Вітаміни з колагеном;;81304538;https://images.prom.ua/3886039002_vitaminy-s-kollagenom.jpg
109251156;Ресвератрол;Ресвератрол;;81304983;https://images.prom.ua/3886328100_resveratrol.jpg
109297834;Кальций, магний, цинк;Кальцій, магній, цинк;;81160408;https://images.prom.ua/3890036737_kaltsij-magnij-tsink.jpg
109302113;Глицин;Гліцин;;79064198;https://images.prom.ua/3890415469_glitsin.jpg
109302272;Лизин;Лизин;;79064198;https://images.prom.ua/3890447354_lizin.jpg
109302443;Таурин;Таурін;;75756682;https://images.prom.ua/3890471064_taurin.jpg
109302462;Тирозин;Тірозин;;79064198;https://images.prom.ua/3890482842_tirozin.jpg
111460362;Женское термобелье;Жіноча термобілизна;;136054312;https://images.prom.ua/4042366192_zhenskoe-termobele.jpg
111460364;Мужское термобелье;Чоловіча термобілизна;;136054312;https://images.prom.ua/4042516029_muzhskoe-termobele.jpg
111460366;Детское термобелье;Дитяча термобілизна;;136054312;
113587347;Печень и детоксикация;Печінка та детоксикація;;136052335;https://images.prom.ua/3229599848_pechen-i-detoksikatsiya.jpg
113590269;Макияж лица;Макіяж обличчя;;136052440;https://images.prom.ua/3229329116_makiyazh-litsa.jpg
113590279;Макияж для губ;Макіяж для губ;;136052440;https://images.prom.ua/3229334021_makiyazh-dlya-gub.jpg
113710757;Мини USB-лампы работающие от повербанка;Міні USB-лампи працюючі від повербанку;;136061701;https://images.prom.ua/4203831716_mini-usb-lampy-rabotayuschie.jpg
127013290;Средства для уборки;Засоби для прибирання;123293524;136061701;https://images.prom.ua/6167727985_sredstva-dlya-uborki.jpg
127013305;Мужская косметика;Чоловіча косметика;123289654;136052440;
127013306;Косметика уход для детей;Косметика догляд для дітей;123289653;136052440;
127013316;Крем и бальзам для тела и рук;Крем і бальзам для тіла та рук;123289667;136052683;
127013326;Тоник для лица;Тонік для обличчя;123289660;72958748;
128526316;Эфирные масла;Ефірні олії;;136052440;https://images.prom.ua/6167727460_efirnye-masla.jpg
128691153;Лютеин;Лютеїн;;81304240;https://images.prom.ua/6061707607_lyutein.jpg
129024541;Веганское спортивное питание;Веганське спортивне харчування;;136052686;
130794360;Берберин;Берберин;;81301939;https://images.prom.ua/4645428965_berberin.jpg
130794385;Хитозан;Хітозан;;136052361;https://images.prom.ua/6193423423_hitozan.jpg
130794460;Хлорофилл;Хлорофіл;;81306789;https://images.prom.ua/6167727301_hlorofill.jpg
130794500;Артишок;Артишок;;113587347;https://images.prom.ua/6192973806_artishok.jpg
130795215;Ашваганда;Ашваганда;;136052351;https://images.prom.ua/6167728464_ashvaganda.jpg
130795534;Кошачий коготь;Котячий кіготь;;136052351;https://images.prom.ua/6168704773_koshachij-kogot.jpg
130795540;Женьшень;Женьшень;;81304983;https://images.prom.ua/6167727634_zhenshen.jpg
130795781;Бета-глюканы;Бета-глюкани;;81303660;
130797698;Ликопин;Лікопін;;81304240;https://images.prom.ua/6193275966_likopin.jpg
130797999;ДГЭА;ДГЕА;;81304512;https://images.prom.ua/6167727810_dgea.jpg
130803610;Со Пальметто;Со Пальметто;;81149040;https://images.prom.ua/6061707475_so-palmetto.jpg
130829284;Инозитол В8;Інозитол В8;;81150100;https://images.prom.ua/6167728033_inozitol-v8.jpg
132918434;Протеин без лактозы;Протеїн без лактози;;75771810;https://images.prom.ua/6193161560_protein-bez-laktozy.jpg
136047878;SAMe (Аденозилметионин);SAMe (Аденозилметіонін);;81304217;
136052057;ВИТАМИНЫ И МИНЕРАЛЫ;ВІТАМІНИ ТА МІНЕРАЛИ;;;https://images.prom.ua/6167723011_vitaminy-i-mineraly.jpg
136052179;Стронций;Стронцій;;136052057;
136052183;Литий;Літій;;136052057;
136052185;Витамин P;Вітамін P;;136052057;
136052187;Серебро;Срібло;;136052057;
136052189;Марганец;Марганець;;136052057;
136052191;Ванадий;Ванадій;;136052057;
136052193;Витаминные капельницы;Вітамінні крапельниці;;136052057;
136052194;Сырые витамины;Сирі вітаміни;;136052057;
136052199;Витамины для всей семьи;Вітаміни для всієї родини;;136052057;
